Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Cai Yun,M,China-2,CHN,2004,Athina,Badminton,Badminton Men's Doubles,No medal
Cai Yun,M,China-1,CHN,2008,Beijing,Badminton,Badminton Men's Doubles,Silver
Cai Yun,M,China-1,CHN,2012,London,Badminton,Badminton Men's Doubles,Gold
Chai Biao,M,China-2,CHN,2012,London,Badminton,Badminton Men's Doubles,No medal
Chai Biao,M,China-2,CHN,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,No medal
Chen Hongyong,M,China-1,CHN,1992,Barcelona,Badminton,Badminton Men's Doubles,No medal
Chen Kang,M,China-1,CHN,1992,Barcelona,Badminton,Badminton Men's Doubles,No medal
Chen Lin,F,China-1,CHN,2000,Sydney,Badminton,Badminton Mixed Doubles,No medal
Chen Longcan,M,China-1,CHN,1988,Seoul,Table Tennis,Table Tennis Men's Doubles,Gold
Chen Qi,M,China-1,CHN,2004,Athina,Table Tennis,Table Tennis Men's Doubles,Gold
Chen Qiqiu,M,China-1,CHN,2000,Sydney,Badminton,Badminton Mixed Doubles,No medal
Chen Qiqiu,M,China-1,CHN,2000,Sydney,Badminton,Badminton Men's Doubles,No medal
Chen Qiqiu,M,China-1,CHN,2004,Athina,Badminton,Badminton Mixed Doubles,No medal
Chen Xingdong,M,China-1,CHN,1996,Atlanta,Badminton,Badminton Mixed Doubles,No medal
Chen Ying,F,China-1,CHN,1996,Atlanta,Badminton,Badminton Women's Doubles,No medal
Chen Zihe,F,China-1,CHN,1992,Barcelona,Table Tennis,Table Tennis Women's Doubles,Silver
Chi Rong,F,China-1,CHN,2000,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No medal
Deng Yaping,F,China-2,CHN,1992,Barcelona,Table Tennis,Table Tennis Women's Doubles,Gold
Deng Yaping,F,China-1,CHN,1996,Atlanta,Table Tennis,Table Tennis Women's Doubles,Gold
Du Jing,F,China-1,CHN,2008,Beijing,Badminton,Badminton Women's Doubles,Gold
Fu Haifeng,M,China-2,CHN,2004,Athina,Badminton,Badminton Men's Doubles,No medal
Fu Haifeng,M,China-1,CHN,2008,Beijing,Badminton,Badminton Men's Doubles,Silver
Fu Haifeng,M,China-1,CHN,2012,London,Badminton,Badminton Men's Doubles,Gold
Fu Haifeng,M,China-1,CHN,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,Gold
Jun (-chang),F,China-1,CHN,1992,Barcelona,Table Tennis,Table Tennis Women's Doubles,Silver
Gao Ling,F,China-2,CHN,2000,Sydney,Badminton,Badminton Mixed Doubles,Gold
Gao Ling,F,China-1,CHN,2000,Sydney,Badminton,Badminton Women's Doubles,Bronze
Gao Ling,F,China-2,CHN,2004,Athina,Badminton,Badminton Mixed Doubles,Gold
Gao Ling,F,China-2,CHN,2008,Beijing,Badminton,Badminton Mixed Doubles,No medal
Ge Cheng,M,China-1,CHN,1996,Atlanta,Badminton,Badminton Men's Doubles,No medal
Ge Fei,F,China-2,CHN,1996,Atlanta,Badminton,Badminton Women's Doubles,Gold
Ge Fei,F,China-2,CHN,2000,Sydney,Badminton,Badminton Women's Doubles,Gold
Gu Jun,F,China-2,CHN,1996,Atlanta,Badminton,Badminton Women's Doubles,Gold
Gu Jun,F,China-2,CHN,2000,Sydney,Badminton,Badminton Women's Doubles,Gold
Guan Weizhen,F,China-1,CHN,1992,Barcelona,Badminton,Badminton Women's Doubles,Silver
Guo Yue,F,China-2,CHN,2004,Athina,Table Tennis,Table Tennis Women's Doubles,Bronze
Guo Zhendong,M,China-2,CHN,2008,Beijing,Badminton,Badminton Men's Doubles,No medal
Guo Zhendong,M,China-2,CHN,2012,London,Badminton,Badminton Men's Doubles,No medal
He Hanbin,M,China-1,CHN,2008,Beijing,Badminton,Badminton Mixed Doubles,Bronze
Hong Wei,M,China-2,CHN,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,No medal
Huang Zhanzhong,M,China-2,CHN,1996,Atlanta,Badminton,Badminton Men's Doubles,No medal
Seiko Iseki,M,China-1,CHN,1988,Seoul,Table Tennis,Table Tennis Men's Doubles,Gold
Jiang Jialiang,M,China-2,CHN,1988,Seoul,Table Tennis,Table Tennis Men's Doubles,No medal
Jiang Xin,M,China-2,CHN,1996,Atlanta,Badminton,Badminton Men's Doubles,No medal
Kong Linghui,M,China-2,CHN,1996,Atlanta,Table Tennis,Table Tennis Men's Doubles,Gold
Kong Linghui,M,China-1,CHN,2000,Sydney,Table Tennis,Table Tennis Men's Doubles,Silver
Kong Linghui,M,China-2,CHN,2004,Athina,Table Tennis,Table Tennis Men's Doubles,No medal
Li Ju,F,China-1,CHN,2000,Sydney,Table Tennis,Table Tennis Women's Doubles,Gold
Li Na,F,China-2,CHN,2012,London,Tennis,Tennis Women's Doubles,No medal
Li Ting,F,China-1,CHN,2004,Athina,Tennis,Tennis Women's Doubles,Gold
Li Yongbo,M,China-2,CHN,1992,Barcelona,Badminton,Badminton Men's Doubles,Bronze
Lin Yanfen,F,China-2,CHN,1992,Barcelona,Badminton,Badminton Women's Doubles,Bronze
Liu Guoliang,M,China-2,CHN,1996,Atlanta,Table Tennis,Table Tennis Men's Doubles,Gold
Liu Guoliang,M,China-1,CHN,2000,Sydney,Table Tennis,Table Tennis Men's Doubles,Silver
Liu Jianjun,M,China-2,CHN,1996,Atlanta,Badminton,Badminton Mixed Doubles,Bronze
Liu Wei,F,China-2,CHN,1996,Atlanta,Table Tennis,Table Tennis Women's Doubles,Silver
Lu Lin,M,China-1,CHN,1992,Barcelona,Table Tennis,Table Tennis Men's Doubles,Gold
Lu Lin,M,China-1,CHN,1996,Atlanta,Table Tennis,Table Tennis Men's Doubles,Silver
Luo Ying,F,China-2,CHN,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,No medal
Luo Yu,F,China-2,CHN,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,No medal
Ma Jin,F,China-2,CHN,2012,London,Badminton,Badminton Mixed Doubles,Silver
Ma Jin,F,China-2,CHN,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,No medal
Ma Lin,M,China-1,CHN,2004,Athina,Table Tennis,Table Tennis Men's Doubles,Gold
Ma Wenge,M,China-2,CHN,1992,Barcelona,Table Tennis,Table Tennis Men's Doubles,No medal
Niu Jianfeng,F,China-2,CHN,2004,Athina,Table Tennis,Table Tennis Women's Doubles,Bronze
Nong Qunhua,F,China-1,CHN,1992,Barcelona,Badminton,Badminton Women's Doubles,Silver
Peng Shuai,F,China-2,CHN,2008,Beijing,Tennis,Tennis Women's Doubles,No medal
Peng Shuai,F,China-1,CHN,2012,London,Tennis,Tennis Women's Doubles,No medal
Peng Shuai,F,China-1,CHN,2016,Rio de Janeiro,Tennis,Tennis Women's Doubles,No medal
Peng Xinyong,F,China-1,CHN,1996,Atlanta,Badminton,Badminton Mixed Doubles,No medal
Peng Xinyong,F,China-1,CHN,1996,Atlanta,Badminton,Badminton Women's Doubles,No medal
Qiao Hong,F,China-2,CHN,1992,Barcelona,Table Tennis,Table Tennis Women's Doubles,Gold
Qiao Hong,F,China-1,CHN,1996,Atlanta,Table Tennis,Table Tennis Women's Doubles,Gold
Qiao Yunping,F,China-2,CHN,1996,Atlanta,Table Tennis,Table Tennis Women's Doubles,Silver
Qin Yiyuan,F,China-1,CHN,2000,Sydney,Badminton,Badminton Women's Doubles,Bronze
Sang Yang,M,China-1,CHN,2004,Athina,Badminton,Badminton Men's Doubles,No medal
Sun Jin,F,China-2,CHN,2000,Sydney,Table Tennis,Table Tennis Women's Doubles,Silver
Sun Man,F,China-2,CHN,1996,Atlanta,Badminton,Badminton Mixed Doubles,Bronze
Sun Tiantian,F,China-1,CHN,2004,Athina,Tennis,Tennis Women's Doubles,Gold
Sun Tiantian,F,China-2,CHN,2008,Beijing,Tennis,Tennis Women's Doubles,No medal
Tang Yuanting,F,China-1,CHN,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,No medal
Tao Xiaoqiang,M,China-1,CHN,1996,Atlanta,Badminton,Badminton Men's Doubles,No medal
Tian Bingyi,M,China-2,CHN,1992,Barcelona,Badminton,Badminton Men's Doubles,Bronze
Tian Jia,F,China-2,CHN,2000,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No medal
Tian Jia,F,China-2,CHN,2004,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No medal
Tian Jia,F,China-1,CHN,2008,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
Tian Qing,F,China-1,CHN,2012,London,Badminton,Badminton Women's Doubles,Gold
Wang Fei,F,China-2,CHN,2004,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No medal
Wang Hao,M,China-2,CHN,2004,Athina,Table Tennis,Table Tennis Men's Doubles,No medal
Wang Jie,F,China-1,CHN,2008,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
Wang Liqin,M,China-2,CHN,2000,Sydney,Table Tennis,Table Tennis Men's Doubles,Gold
Wang Lu,F,China-1,CHN,2004,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No medal
Wang Nan,F,China-1,CHN,2000,Sydney,Table Tennis,Table Tennis Women's Doubles,Gold
Wang Nan,F,China-1,CHN,2004,Athina,Table Tennis,Table Tennis Women's Doubles,Gold
Wang Tao,M,China-1,CHN,1992,Barcelona,Table Tennis,Table Tennis Men's Doubles,Gold
Wang Tao,M,China-1,CHN,1996,Atlanta,Table Tennis,Table Tennis Men's Doubles,Silver
Wang Xiaoli,F,China-2,CHN,2012,London,Badminton,Badminton Women's Doubles,No medal
Wei Yili,F,China-2,CHN,2004,Athina,Badminton,Badminton Women's Doubles,No medal
Wei Yili,F,China-2,CHN,2008,Beijing,Badminton,Badminton Women's Doubles,Bronze
Xie Zhongbo,M,China-2,CHN,2008,Beijing,Badminton,Badminton Men's Doubles,No medal
Xiong Zi,F,China-1,CHN,2000,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No medal
Xu Chen,M,China-2,CHN,2012,London,Badminton,Badminton Mixed Doubles,Silver
Xu Chen,M,China-2,CHN,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,No medal
Xu Yifan,F,China-2,CHN,2016,Rio de Janeiro,Tennis,Tennis Women's Doubles,No medal
Xu Zengcai,M,China-2,CHN,1988,Seoul,Table Tennis,Table Tennis Men's Doubles,No medal
Xue Chen,F,China-2,CHN,2008,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
Yan Sen,M,China-2,CHN,2000,Sydney,Table Tennis,Table Tennis Men's Doubles,Gold
Yan Zi,F,China-2,CHN,2004,Athina,Tennis,Tennis Women's Doubles,No medal
Yan Zi,F,China-1,CHN,2008,Beijing,Tennis,Tennis Women's Doubles,Bronze
Yang Wei,F,China-1,CHN,2004,Athina,Badminton,Badminton Women's Doubles,Gold
Yang Wei,F,China-3,CHN,2008,Beijing,Badminton,Badminton Women's Doubles,No medal
Yang Ying,F,China-2,CHN,2000,Sydney,Table Tennis,Table Tennis Women's Doubles,Silver
Yao Fen,F,China-2,CHN,1992,Barcelona,Badminton,Badminton Women's Doubles,Bronze
You Wenhui,F,China-1,CHN,2004,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No medal
Yu Jinhao,M,China-1,CHN,2000,Sydney,Badminton,Badminton Men's Doubles,No medal
Yu Shentong,M,China-2,CHN,1992,Barcelona,Table Tennis,Table Tennis Men's Doubles,No medal
Yu Yang,F,China-1,CHN,2008,Beijing,Badminton,Badminton Mixed Doubles,Bronze
Yu Yang,F,China-1,CHN,2008,Beijing,Badminton,Badminton Women's Doubles,Gold
Yu Yang,F,China-2,CHN,2012,London,Badminton,Badminton Women's Doubles,No medal
Yu Yang,F,China-1,CHN,2016,Rio de Janeiro,Badminton,Badminton Women's Doubles,No medal
Zhang Jiewen,F,China-1,CHN,2004,Athina,Badminton,Badminton Women's Doubles,Gold
Zhang Jiewen,F,China-3,CHN,2008,Beijing,Badminton,Badminton Women's Doubles,No medal
Zhang Jingkun,F,China-2,CHN,2000,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,No medal
Zhang Jun,M,China-2,CHN,2000,Sydney,Badminton,Badminton Mixed Doubles,Gold
Zhang Jun,M,China-2,CHN,2004,Athina,Badminton,Badminton Mixed Doubles,Gold
Zhang Nan,M,China-1,CHN,2012,London,Badminton,Badminton Mixed Doubles,Gold
Zhang Nan,M,China-1,CHN,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Bronze
Zhang Nan,M,China-1,CHN,2016,Rio de Janeiro,Badminton,Badminton Men's Doubles,Gold
Zhang Shuai,F,China-2,CHN,2012,London,Tennis,Tennis Women's Doubles,No medal
Zhang Shuai,F,China-1,CHN,2016,Rio de Janeiro,Tennis,Tennis Women's Doubles,No medal
Zhang Xi,F,China-2,CHN,2008,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
Zhang Yawen,F,China-2,CHN,2008,Beijing,Badminton,Badminton Women's Doubles,Bronze
Zhang Yining,F,China-1,CHN,2004,Athina,Table Tennis,Table Tennis Women's Doubles,Gold
Zhao Tingting,F,China-1,CHN,2004,Athina,Badminton,Badminton Mixed Doubles,No medal
Zhao Tingting,F,China-2,CHN,2004,Athina,Badminton,Badminton Women's Doubles,No medal
Zhao Yunlei,F,China-1,CHN,2012,London,Badminton,Badminton Mixed Doubles,Gold
Zhao Yunlei,F,China-1,CHN,2012,London,Badminton,Badminton Women's Doubles,Gold
Zhao Yunlei,F,China-1,CHN,2016,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Bronze
Zheng Bo,M,China-1,CHN,2004,Athina,Badminton,Badminton Men's Doubles,No medal
Zheng Bo,M,China-2,CHN,2008,Beijing,Badminton,Badminton Mixed Doubles,No medal
